datetime,open,high,low,close,volume
,SQQQ,SQQQ,SQQQ,SQQQ,SQQQ
2020-11-19,491.5,495.0,475.25,476.75,1661040
2020-11-20,477.5,487.0,473.75,486.75,1397852
2020-11-23,481.5,498.5,475.0,486.5,1557856
2020-11-24,481.0,490.75,463.75,466.25,1814328
2020-11-25,461.5,465.75,454.5,457.25,1386344
2020-11-27,448.5,450.0,439.5,445.0,936520
2020-11-30,443.5,464.0,440.5,442.5,2151508
2020-12-01,432.25,437.0,417.5,424.75,2068584
2020-12-02,430.0,438.0,421.75,423.0,1582564
2020-12-03,422.25,424.5,414.75,421.25,1385552
2020-12-04,421.5,424.25,415.75,416.0,1230300
2020-12-07,415.5,416.25,407.75,409.0,1246728
2020-12-08,411.0,418.5,403.75,405.0,1360300
2020-12-09,405.75,437.0,404.75,432.25,3227428
2020-12-10,442.0,446.75,422.5,427.5,2534852
2020-12-11,434.5,444.75,429.75,430.0,2167736
2020-12-14,425.0,425.25,412.25,420.5,1690608
2020-12-15,411.25,420.75,407.5,407.5,1529508
2020-12-16,405.75,410.0,397.5,400.75,1590776
2020-12-17,394.25,399.0,391.75,392.5,1219996
2020-12-18,390.25,405.5,389.25,396.25,1897184
2020-12-21,407.75,418.75,396.25,398.75,2764284
2020-12-22,395.0,406.5,391.5,395.25,1845916
2020-12-23,395.25,401.75,393.75,401.0,1303796
2020-12-24,400.0,400.5,394.0,395.75,789324
2020-12-28,385.5,392.75,382.0,383.75,1550740
2020-12-29,379.0,386.5,376.5,382.75,1956568
2020-12-30,378.5,385.25,377.25,382.75,1127832
2020-12-31,383.0,387.25,378.5,379.5,1434716
2021-01-04,375.0,411.25,374.5,396.0,3580612
2021-01-05,400.0,400.0,385.75,386.25,2023864
2021-01-06,404.0,408.25,386.0,402.25,4114176
2021-01-07,391.5,391.5,369.75,372.25,2404524
2021-01-08,364.75,372.75,357.25,358.5,3487648
2021-01-11,368.75,376.25,364.5,374.0,2697564
2021-01-12,373.75,385.5,369.75,375.5,2232304
2021-01-13,375.0,377.0,365.25,368.5,1678620
2021-01-14,366.5,375.75,363.0,374.0,1418112
2021-01-15,375.25,387.5,371.25,383.0,2463412
2021-01-19,374.0,378.25,364.25,366.0,1790676
2021-01-20,353.25,354.75,337.5,340.75,2622912
2021-01-21,336.75,340.75,330.0,332.0,1860568
2021-01-22,335.75,337.5,332.0,335.0,1483404
2021-01-25,324.5,347.75,320.25,325.75,4058860
2021-01-26,324.75,329.75,322.0,325.25,1806648
2021-01-27,332.25,358.75,332.25,351.75,4316244
2021-01-28,348.75,350.75,329.5,346.25,3285708
2021-01-29,351.75,374.25,348.25,367.75,4447888
2021-02-01,355.75,363.0,337.25,340.25,3361576
2021-02-02,331.0,331.5,320.25,324.25,2320136
2021-02-03,317.75,328.0,316.75,327.5,2128384
2021-02-04,323.25,327.75,316.0,316.0,1883748
2021-02-05,313.5,318.5,310.0,312.75,1874012
2021-02-08,308.0,313.0,306.25,306.5,1765060
2021-02-09,309.5,309.5,303.5,306.75,1879292
2021-02-10,302.75,318.0,301.5,308.75,3784172
2021-02-11,304.5,311.0,302.75,303.75,2784668
2021-02-12,306.0,309.25,298.25,299.0,1928932
2021-02-16,296.5,304.5,294.0,301.0,2239800
2021-02-17,309.5,315.75,304.75,305.5,3199448
2021-02-18,315.75,320.75,307.5,309.5,3501808
2021-02-19,305.5,316.5,305.25,313.5,2632192
2021-02-22,326.25,338.5,322.5,338.0,4123808
2021-02-23,355.25,374.0,335.5,340.75,7748084
2021-02-24,350.0,358.5,331.25,332.25,4630820
2021-02-25,341.0,372.25,332.75,367.5,7597404
2021-02-26,356.5,374.0,345.0,362.0,8660288
2021-03-01,344.5,349.5,328.5,329.75,3828192
2021-03-02,328.0,346.5,327.5,345.5,3073636
2021-03-03,349.5,376.0,346.25,375.5,6573924
2021-03-04,377.25,409.0,365.25,394.0,12953588
2021-03-05,383.5,419.5,372.5,376.0,12133520
2021-03-08,378.25,409.5,371.0,408.0,7388160
2021-03-09,377.5,379.5,351.75,359.75,6346224
2021-03-10,344.5,365.25,343.25,362.5,5315836
2021-03-11,345.5,348.75,331.25,337.25,4479296
2021-03-12,350.75,358.75,345.25,345.5,3929336
2021-03-15,344.75,350.25,334.0,334.5,2495980
2021-03-16,327.25,333.75,317.75,329.0,3716376
2021-03-17,338.75,344.25,319.0,325.0,4785128
